date_id,year,quarter,month,month_name,day,day_of_week,week_of_year,is_weekend
2011-01-01,2011,1,1,January,1,Saturday,52,1
2011-01-02,2011,1,1,January,2,Sunday,52,1
2011-01-03,2011,1,1,January,3,Monday,1,0
2011-01-04,2011,1,1,January,4,Tuesday,1,0
2011-01-05,2011,1,1,January,5,Wednesday,1,0
2011-01-06,2011,1,1,January,6,Thursday,1,0
2011-01-07,2011,1,1,January,7,Friday,1,0
2011-01-08,2011,1,1,January,8,Saturday,1,1
2011-01-09,2011,1,1,January,9,Sunday,1,1
2011-01-10,2011,1,1,January,10,Monday,2,0
2011-01-11,2011,1,1,January,11,Tuesday,2,0
2011-01-12,2011,1,1,January,12,Wednesday,2,0
2011-01-13,2011,1,1,January,13,Thursday,2,0
2011-01-14,2011,1,1,January,14,Friday,2,0
2011-01-15,2011,1,1,January,15,Saturday,2,1
2011-01-16,2011,1,1,January,16,Sunday,2,1
2011-01-17,2011,1,1,January,17,Monday,3,0
2011-01-18,2011,1,1,January,18,Tuesday,3,0
2011-01-19,2011,1,1,January,19,Wednesday,3,0
2011-01-20,2011,1,1,January,20,Thursday,3,0
2011-01-21,2011,1,1,January,21,Friday,3,0
2011-01-22,2011,1,1,January,22,Saturday,3,1
2011-01-23,2011,1,1,January,23,Sunday,3,1
2011-01-24,2011,1,1,January,24,Monday,4,0
2011-01-25,2011,1,1,January,25,Tuesday,4,0
2011-01-26,2011,1,1,January,26,Wednesday,4,0
2011-01-27,2011,1,1,January,27,Thursday,4,0
2011-01-28,2011,1,1,January,28,Friday,4,0
2011-01-29,2011,1,1,January,29,Saturday,4,1
2011-01-30,2011,1,1,January,30,Sunday,4,1
2011-01-31,2011,1,1,January,31,Monday,5,0
2011-02-01,2011,1,2,February,1,Tuesday,5,0
2011-02-02,2011,1,2,February,2,Wednesday,5,0
2011-02-03,2011,1,2,February,3,Thursday,5,0
2011-02-04,2011,1,2,February,4,Friday,5,0
2011-02-05,2011,1,2,February,5,Saturday,5,1
2011-02-06,2011,1,2,February,6,Sunday,5,1
2011-02-07,2011,1,2,February,7,Monday,6,0
2011-02-08,2011,1,2,February,8,Tuesday,6,0
2011-02-09,2011,1,2,February,9,Wednesday,6,0
2011-02-10,2011,1,2,February,10,Thursday,6,0
2011-02-11,2011,1,2,February,11,Friday,6,0
2011-02-12,2011,1,2,February,12,Saturday,6,1
2011-02-13,2011,1,2,February,13,Sunday,6,1
2011-02-14,2011,1,2,February,14,Monday,7,0
2011-02-15,2011,1,2,February,15,Tuesday,7,0
2011-02-16,2011,1,2,February,16,Wednesday,7,0
2011-02-17,2011,1,2,February,17,Thursday,7,0
2011-02-18,2011,1,2,February,18,Friday,7,0
2011-02-19,2011,1,2,February,19,Saturday,7,1
